Date,Open,High,Low,Close,Volume
4/23/2018,76.05,78.51,76.05,78.1,"17,000"
4/24/2018,78.89,79.5,78.5,78.95,"125,000"
4/26/2018,78,78,78,78,"1,000"
4/27/2018,77.5,79.1,77.5,79.1,"202,000"
4/30/2018,79,79,78.95,79,"69,000"
5/2/2018,79,79,78.21,79,"136,000"
5/7/2018,78.99,79,78.99,79,"6,500"
5/8/2018,82.95,82.95,78,79.8,"9,500"
5/9/2018,78,82.5,78,80.18,"6,500"
5/10/2018,78.5,78.5,78.25,78.28,"25,500"
5/11/2018,75.51,79.75,75.51,77.01,"19,500"
5/14/2018,77,77.1,74.5,74.66,"155,000"
5/15/2018,72.11,73.95,72,72.7,"285,500"
5/16/2018,72.5,75,72.5,73.97,"157,000"
5/17/2018,76.95,77.45,73.95,74.03,"38,500"
5/21/2018,76.25,76.25,73,73,"68,000"
5/22/2018,73.89,74.49,73,74.49,"3,000"
5/23/2018,75.5,75.9,75,75.9,"12,000"
5/25/2018,73.02,75,73,73.46,"6,500"
5/28/2018,76.95,77,72,72.17,"347,000"
5/29/2018,73.85,75,73.85,74.5,"21,500"
5/31/2018,75,75,74,74.99,"28,500"
6/1/2018,75,75,74,74.5,"17,000"
6/4/2018,72.45,72.45,72.45,72.45,"3,000"
6/5/2018,73.16,76.07,73,75.61,"230,000"
6/6/2018,75.61,78.75,75.61,78.01,"69,000"
6/7/2018,79,79,76,76.5,"31,500"
6/11/2018,76.5,79.73,76.5,77,"54,500"
6/12/2018,77,78.25,76.99,78.08,"240,500"
6/13/2018,81.98,81.98,79.74,81.98,"7,638,000"
6/14/2018,84.5,86.07,84.25,86.07,"3,320,500"
6/19/2018,89,90,86.55,87.39,"2,967,000"
6/20/2018,88,91.75,83.05,83.84,"1,681,500"
6/21/2018,82,83.81,79.65,80.48,"8,944,500"
6/22/2018,81,81.49,79.51,80.01,"6,660,000"
6/25/2018,81,82.8,80,80.14,"155,000"
6/26/2018,80.64,81.25,80.25,81,"2,763,500"
6/27/2018,81,82.5,81,82,"1,820,000"
6/28/2018,81.95,82.1,80.55,81.78,"586,000"
6/29/2018,81.5,82.01,81.5,81.72,"1,210,500"
8/1/2018,88.09,90,88,89.67,"536,500"
8/2/2018,90,90,89.25,90,"581,000"
8/3/2018,90,91,88.05,90.86,"35,000"
8/6/2018,91,91,90.86,91,"119,000"
8/7/2018,92,92,91,91,"205,500"
8/8/2018,91,92.5,91,91.63,"66,000"
8/9/2018,91.02,91.7,91,91,"94,500"
8/10/2018,90.06,91.25,90.06,91.23,"132,500"
8/13/2018,90.5,91.25,90,90.44,"404,000"
8/15/2018,91,91,90,90.5,"827,000"
8/16/2018,91,91,90,90.3,"5,500"
8/17/2018,90.5,93.5,90.5,92.75,"127,500"
8/20/2018,92.5,92.8,92.5,92.5,"25,000"
8/24/2018,92.5,93.05,92.5,93,"1,322,500"
8/27/2018,93.1,94.84,93.02,93.1,"551,000"
8/28/2018,96.99,96.99,92.8,93,"268,000"
8/29/2018,94.5,95,93,94.12,"448,500"
8/30/2018,93.3,97,92.05,93,"638,500"
8/31/2018,93.5,93.65,91.15,93.65,"181,000"
9/3/2018,92.1,93,91.7,92.99,"133,000"
9/4/2018,92.2,93.02,91.51,92.81,"87,500"
9/5/2018,92.99,93,92,92.6,"128,500"
9/6/2018,92.5,93,92.5,93,"285,000"
9/7/2018,95.67,97.65,92,92.1,"127,000"
9/10/2018,92.5,92.5,91.2,92.22,"106,000"
9/11/2018,92.3,93.9,92,93,"850,000"
9/12/2018,93.5,94,93.3,94,"106,000"
9/13/2018,95.9,95.9,94,94.5,"30,000"
9/14/2018,94.25,95.5,94.25,95.15,"30,000"
9/17/2018,95.85,95.9,93,93,"15,500"
9/18/2018,86.95,86.95,83.99,84,"39,500"
9/19/2018,87.9,87.95,86.96,86.96,"3,000"
9/24/2018,90,90,87,87,"3,000"
9/25/2018,87,89.95,87,89.95,"1,000"
9/26/2018,88,88,86,86.03,"33,000"
9/27/2018,86.79,90,86.79,88.82,"232,000"
9/28/2018,89,91,87.25,89.18,"203,500"
10/1/2018,88.15,91.5,88.1,91.5,"16,000"
10/2/2018,91.45,91.5,90.8,91,"263,500"
10/3/2018,90.01,90.01,89.95,89.95,"9,000"
10/4/2018,90,91,90,90.54,"590,000"
10/5/2018,89.02,90.78,89,90.15,"328,500"
10/8/2018,88.2,90,85.7,88.13,"697,500"
10/9/2018,89.95,92,89,91.28,"564,500"
10/10/2018,94,94,90.01,90.63,"109,500"
10/11/2018,89.11,92,89.11,91.06,"8,507,500"
10/12/2018,90.95,92,90.95,92,"313,000"
10/15/2018,92,92,90,91.92,"271,500"
10/16/2018,92,92,90.1,90.25,"133,000"
10/17/2018,90.5,92.9,90.5,91.95,"252,000"
10/18/2018,91.99,94.9,91.5,94.06,"312,500"
10/19/2018,95.5,96,94.75,95.5,"1,018,500"
10/22/2018,95.55,95.55,92.5,95,"37,000"
10/23/2018,93.11,95,93.05,94.01,"185,000"
10/24/2018,96.45,96.5,93.15,95.48,"1,449,500"
10/25/2018,97.9,97.9,95.01,95.96,"257,500"
10/26/2018,94.01,97,91.3,96.36,"237,500"
10/29/2018,97.4,98,93.34,97.5,"1,173,000"
10/30/2018,96,100,96,98.96,"335,500"
10/31/2018,98,99.9,97.4,99.26,"182,000"
