Date,Open,High,Low,Close,Volume
16-Apr-18,509.51,511,496,497.29,"83,050"
17-Apr-18,495.11,504,494,500.02,"113,500"
18-Apr-18,502,505,499.99,502.16,"154,300"
19-Apr-18,503,504.01,495.1,499.82,"123,350"
20-Apr-18,498.1,503,496,496.58,"21,850"
23-Apr-18,498.6,499,494.16,495.97,"14,450"
24-Apr-18,496,497.98,492.6,493.82,"26,600"
25-Apr-18,494.3,495.49,487,488.49,"35,250"
26-Apr-18,486.01,490.9,481,483.06,"27,250"
27-Apr-18,483,485.8,476,479.8,"28,850"
30-Apr-18,475.1,483.5,473.88,481.5,"55,000"
2-May-18,484.8,486,480.03,481.55,"30,700"
3-May-18,483.01,483.25,474,474.88,"46,150"
4-May-18,476,480,474.49,479.46,"20,000"
7-May-18,481,484.5,477.02,478.25,"16,550"
8-May-18,479.98,479.98,470,472.25,"20,250"
9-May-18,474,475,461.01,470.25,"25,250"
10-May-18,471,475.01,471,471.78,"70,800"
11-May-18,471.99,473,461.6,463.13,"67,700"
14-May-18,463,463,439.98,440.32,"69,100"
15-May-18,437,449,428,434.02,"110,800"
16-May-18,434.11,435,420,426.86,"47,950"
17-May-18,427,430,414,417.43,"19,450"
18-May-18,416.5,416.85,401.11,403.71,"64,050"
21-May-18,409,410.9,403,407.15,"51,500"
22-May-18,408.5,427.5,408,423.54,"58,200"
23-May-18,421,424.85,420,420.9,"38,400"
24-May-18,422,422,408.02,409.94,"23,800"
25-May-18,409,409.9,400,400.88,"22,500"
28-May-18,404,405.88,397.5,401.39,"33,050"
29-May-18,401.21,408.72,401.21,405.64,"20,750"
30-May-18,407.5,411,402.01,403.21,"36,300"
31-May-18,405,405.45,397,400.01,"46,850"
1-Jun-18,401,403.5,399.51,402.43,"28,500"
4-Jun-18,405,408,403.01,404.55,"27,500"
5-Jun-18,406.99,406.99,402.5,403.85,"37,200"
6-Jun-18,405.99,405.99,401.66,403.21,"35,950"
7-Jun-18,405.8,419,404,409.33,"81,050"
11-Jun-18,416.5,416.5,391,395.79,"150,750"
12-Jun-18,398.97,399,381,382.99,"69,200"
13-Jun-18,362,365.6,356.5,363.24,"48,600"
14-Jun-18,363,364.8,347.3,350.7,"109,600"
19-Jun-18,351,351.75,342,344.53,"65,600"
20-Jun-18,345,345,333,335.38,"116,950"
21-Jun-18,335.99,336,318.62,318.62,"160,700"
22-Jun-18,318.9,322,310.1,312.25,"64,800"
25-Jun-18,311.15,313,296.64,297.65,"171,300"
26-Jun-18,295.01,309,294,302.21,"306,400"
27-Jun-18,304.12,317.32,304.11,315.39,"219,150"
28-Jun-18,312.1,323,308,317.72,"84,000"
29-Jun-18,315.1,319.99,314,316.39,"40,950"
2-Jul-18,316.55,318.5,304,307,"51,000"
3-Jul-18,307.88,307.88,300,300.65,"42,500"
4-Jul-18,298,298,285.62,285.99,"50,300"
5-Jul-18,285,300.28,281,300.28,"91,500"
6-Jul-18,301.01,313.7,295,300.75,"195,100"
9-Jul-18,302.01,306,285.72,286.19,"98,500"
10-Jul-18,284.51,288,274.13,281.37,"129,300"
11-Jul-18,280.3,285.5,272,273.42,"124,100"
